央卫V4,#genre#
更新地址http://192.140.163.220:9986/屿风眠星辞雾听澜书禾念安知夏遇秋寻冬观月.txt
CCTV1综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608807420
CCTV2财经,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=631780532
CCTV3综艺,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878271
CCTV4中文国际,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=631780421
CCTV5体育,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=641886683
CCTV5+体育赛事,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=641886773
CCTV6电影,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878396
CCTV7国防军事,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168121
CCTV8电视剧,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878356
CCTV9纪录,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168140
CCTV10科教,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878405
CCTV11戏曲,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=667987558
CCTV12社会与法,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168185
CCTV13新闻,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608807423
CCTV14少儿,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878440
CCTV15音乐,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168223
CCTV17农业农村,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=673168256
CCTV4欧洲,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608807419
CCTV4美洲,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608807416
CGTN外语纪录,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=609006487
CGTN阿拉伯语,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=609154345
CGTN西班牙语,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=609006450
CGTN法语,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=609006476
CGTN俄语,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=609006446
老故事,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=884121956
发现之旅,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=624878970
中学生,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=708869532
CGTN,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=609017205
东方卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=651632648
江苏卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=623899368
广东卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608831231
江西卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=783847495
河南卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=790187291
陕西卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=738910838
大湾区卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608917627
湖北卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=947472496
吉林卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=947472500
青海卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=947472506
东南卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=849116810
海南卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=947472502
海峡卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=849119120
中国农林卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956904896
兵团卫视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=956923145
上海新闻综合,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=651632657
上视东方影视,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=617290047
上海第一财经,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=608780988
南京新闻综合频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=838109047
南京教科频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=838153729
南京十八频道,http://146.56.248.47:1366/SuanFaZhibo2026/live8/miguVIP.php?id=838151753
