卫视,#genre#
东方卫视,http://115.150.63.77:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://115.150.63.77:85/tsfile/live/1040_1.m3u8?key=txiptv&playlive=0&authid=0
江苏卫视,http://115.150.63.77:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0
安徽卫视,http://115.150.63.77:85/tsfile/live/1032_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://115.150.63.77:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://115.150.63.77:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=0&authid=0
湖南卫视,http://115.150.63.77:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://115.150.63.77:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://115.150.63.77:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=0&authid=0
东南卫视,http://115.150.63.77:85/tsfile/live/1042_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://115.150.63.77:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
四川卫视,http://115.150.63.77:85/tsfile/live/1040_1.m3u8?key=txiptv&playlive=1&authid=0
天津卫视,http://115.150.63.77:85/tsfile/live/1034_1.m3u8?key=txiptv&playlive=1&authid=0
安徽卫视,http://115.150.63.77:85/tsfile/live/1032_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://115.150.63.77:85/tsfile/live/1048_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://115.150.63.77:85/tsfile/live/1041_1.m3u8?key=txiptv&playlive=1&authid=0
辽宁卫视,http://115.150.63.77:85/tsfile/live/1035_1.m3u8?key=txiptv&playlive=1&authid=0
贵州卫视,http://115.150.63.77:85/tsfile/live/1042_1.m3u8?key=txiptv&playlive=1&authid=0
黑龙江卫视,http://115.150.63.77:85/tsfile/live/1039_1.m3u8?key=txiptv&playlive=1&authid=0
北京卫视,http://115.150.63.77:85/tsfile/live/1033_1.m3u8?key=txiptv&playlive=1&authid=0
江西卫视,http://115.150.63.77:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&authid=0
三沙卫视,http://115.150.63.77:85/tsfile/live/1031_1.m3u8?key=txiptv&playlive=1&authid=0
央视,#genre#
CCTV15,http://115.150.63.77:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://115.150.63.77:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://115.150.63.77:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://115.150.63.77:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://115.150.63.77:85/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://115.150.63.77:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://115.150.63.77:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://115.150.63.77:85/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
其他,#genre#
CGTN,http://115.150.63.77:85/tsfile/live/0019_1.m3u8?key=txiptv&playlive=0&authid=0
怀旧剧场,http://115.150.63.77:85/tsfile/live/1063_1.m3u8?key=txiptv&playlive=1&authid=0
环球奇观,http://115.150.63.77:85/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
第一剧场,http://115.150.63.77:85/tsfile/live/1061_1.m3u8?key=txiptv&playlive=1&authid=0
风云足球,http://115.150.63.77:85/tsfile/live/1065_1.m3u8?key=txiptv&playlive=1&authid=0
风云音乐,http://115.150.63.77:85/tsfile/live/1064_1.m3u8?key=txiptv&playlive=1&authid=0
高尔夫网球,http://115.150.63.77:85/tsfile/live/1066_1.m3u8?key=txiptv&playlive=1&authid=0
CETV-2,http://115.150.63.77:85/tsfile/live/1062_1.m3u8?key=txiptv&playlive=1&authid=0
山东综艺(电信),http://115.150.63.77:85/tsfile/live/1071_1.m3u8?key=txiptv&playlive=1&authid=0
东方购物,http://115.150.63.77:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=1&authid=0
家庭影院,http://115.150.63.77:85/tsfile/live/1028_1.m3u8?key=txiptv&playlive=1&authid=0
教育台,http://115.150.63.77:85/tsfile/live/1029_1.m3u8?key=txiptv&playlive=1&authid=0
金鹰纪实,http://115.150.63.77:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=1&authid=0
