央视,#genre#
CCTV2,http://60.174.64.25:85/tsfile/live/1014_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8,http://60.174.64.25:85/tsfile/live/1020_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6,http://60.174.64.25:85/tsfile/live/1018_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV14,http://60.174.64.25:85/tsfile/live/1026_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV15,http://60.174.64.25:85/tsfile/live/1027_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9,http://60.174.64.25:85/tsfile/live/1021_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://60.174.64.25:85/tsfile/live/1019_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1,http://60.174.64.25:85/tsfile/live/1013_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5,http://60.174.64.25:85/tsfile/live/1017_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://60.174.64.25:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7,http://60.174.64.25:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3,http://60.174.64.25:85/tsfile/live/1015_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV10,http://60.174.64.25:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2,http://60.174.64.25:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3,http://60.174.64.25:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5,http://60.174.64.25:85/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://60.174.64.25:85/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://60.174.64.25:85/tsfile/live/1022_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://60.174.64.25:85/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4,http://60.174.64.25:85/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV17,http://60.174.64.25:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1,http://60.174.64.25:85/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7,http://60.174.64.25:85/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
卫视,#genre#
陕西卫视,http://60.174.64.25:85/tsfile/live/0136_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://60.174.64.25:85/tsfile/live/0112_1.m3u8?key=txiptv&playlive=0&authid=0
新疆卫视,http://60.174.64.25:85/tsfile/live/0110_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://60.174.64.25:85/tsfile/live/1030_1.m3u8?key=txiptv&playlive=0&authid=0
西藏卫视,http://60.174.64.25:85/tsfile/live/0111_1.m3u8?key=txiptv&playlive=0&authid=0
三沙卫视,http://60.174.64.25:85/tsfile/live/1002_1.m3u8?key=txiptv&playlive=0&authid=0
兵团卫视,http://60.174.64.25:85/tsfile/live/0115_1.m3u8?key=txiptv&playlive=0&authid=0
云南卫视,http://60.174.64.25:85/tsfile/live/0119_1.m3u8?key=txiptv&playlive=0&authid=0
天津卫视,http://60.174.64.25:85/tsfile/live/0135_1.m3u8?key=txiptv&playlive=0&authid=0
北京卫视,http://60.174.64.25:85/tsfile/live/0122_1.m3u8?key=txiptv&playlive=0&authid=0
宁夏卫视,http://60.174.64.25:85/tsfile/live/0112_1.m3u8?key=txiptv&playlive=1&authid=0
四川卫视,http://60.174.64.25:85/tsfile/live/0123_1.m3u8?key=txiptv&playlive=0&authid=0
山东卫视,http://60.174.64.25:85/tsfile/live/0131_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://60.174.64.25:85/tsfile/live/0125_1.m3u8?key=txiptv&playlive=0&authid=0
山西卫视,http://60.174.64.25:85/tsfile/live/0118_1.m3u8?key=txiptv&playlive=0&authid=0
江西卫视,http://60.174.64.25:85/tsfile/live/0138_1.m3u8?key=txiptv&playlive=0&authid=0
河北卫视,http://60.174.64.25:85/tsfile/live/0117_1.m3u8?key=txiptv&playlive=0&authid=0
海南卫视,http://60.174.64.25:85/tsfile/live/1001_1.m3u8?key=txiptv&playlive=0&authid=0
深圳卫视,http://60.174.64.25:85/tsfile/live/0126_1.m3u8?key=txiptv&playlive=0&authid=0
浙江卫视,http://60.174.64.25:85/tsfile/live/0124_1.m3u8?key=txiptv&playlive=0&authid=0
贵州卫视,http://60.174.64.25:85/tsfile/live/0120_1.m3u8?key=txiptv&playlive=0&authid=0
辽宁卫视,http://60.174.64.25:85/tsfile/live/0121_1.m3u8?key=txiptv&playlive=0&authid=0
湖北卫视,http://60.174.64.25:85/tsfile/live/0132_1.m3u8?key=txiptv&playlive=0&authid=0
东方卫视,http://60.174.64.25:85/tsfile/live/0107_1.m3u8?key=txiptv&playlive=0&authid=0
重庆卫视,http://60.174.64.25:85/tsfile/live/0142_1.m3u8?key=txiptv&playlive=0&authid=0
青海卫视,http://60.174.64.25:85/tsfile/live/0140_1.m3u8?key=txiptv&playlive=0&authid=0
黑龙江卫视,http://60.174.64.25:85/tsfile/live/0143_1.m3u8?key=txiptv&playlive=0&authid=0
